SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
C76-d,1b,97.03,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Straight,Sub rectangular,Feather,Symmetrical,2,Along axis,Plain,Lipped,Yes,Flake,,Module 0,,None,None,None,,,No,,,,,,,,,,,,,,3.84,8.33,9.15,4.44,1.46,8.46,1.33,0.07,None,
C76,1b,96.97,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,3,Along axis,Crushed,Indeterminate,Yes,Flake,Pre detachment,Module 1,,Proximal right,Dorsal,Regular,,,No,,,,,,,,,,,,,,9.18,10.69,11.34,9.57,1.49,,,0.2,None,
C77-88,1b,97.03,97.03,Tuf,Non-Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,1,Plain,Plain,Not lipped,Yes,Flake,,Module 0,,None,None,None,,,No,,,,,,,,,,,,,,6.83,5.93,7.7,5.98,0.96,5.12,0.72,0.05,None,
C77,1b,97.34,97.29,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Hinge,Symmetrical,3,Along axis,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,15.32,20.31,24.1,16.56,2.73,8.11,1.9,1.04,None,
C78-25,1b,97.04,97.04,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Oblique,Sub triangular,Hinge,Symmetrical,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,7.47,4.76,7.39,4.99,2.02,1.52,0.85,0.08,None,
D77,1b,97,96.99,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub triangular,Feather,Symmetrical,1,Plain,Plain,Lipped,Yes,Flake,,Module 0,,None,None,None,,,No,,,,,,,,,,,,,,12.09,10.88,15.48,13.05,1.45,13.38,2.42,0.37,None,
D78,2a,97.19,97.12,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Hinge,A symetric to the left,4,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,,,,,,No,,,,,,,,,,,,,,9.45,15.05,19.33,11.39,2.09,8.9,1.61,0.62,None,
Zz77-17,1b,96.94,96.94,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Sub triangular,Feather,Symmetrical,4,Along axis opposed,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Fine,,,No,,,,,,,,,,,,,,8.21,12.12,13.53,10.59,1.65,10.95,2.44,0.27,Photo+3d,
A77-32-a,1b,97,97,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Sub triangular,Feather,A symetric to the right,4,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,,,No,,,,,,,,,,,,,,6.21,6.66,9.43,7.13,0.89,6.02,1.52,0.07,Photo high resolution,
A77-64-a,1b,96.91,96.91,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub rectangular,Feather,Symmetrical,7,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Half quina,,,No,,,,,,,,,,,,,,15.09,10.3,15.77,12.29,3.87,2.12,1.44,0.63,Photo+3d,
