SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
A77-64-f,1b,96.91,96.91,Tuf,Non-Obsidian,Flake,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Half quina,,,No,,,,,,,,,,,,,,,,10.45,4.27,0.97,2.17,0.96,0.05,Photo+3d,
B77-59,1b,96.91,96.91,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub triangular,Feather,A symetric to the right,12,Centripetal,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 4,,Both edges,Dorsal,Scraper-like,,,No,,,,,,,,,,,,,,11.28,19.76,24.91,13.74,3.77,16.11,3,0.98,Photo+3d,
B77-59-c,1b,96.91,96.91,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub triangular,Feather,Symmetrical,8,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Quina,,,No,,,,,,,,,,,,,,11.37,7.38,11.18,7.82,1.36,,,0.09,None,
B78-77-a,1b,96.97,96.97,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Oblique,Trapezoidal,Hinge,Symmetrical,4,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Fine,,,No,,,,,,,,,,,,,,6.83,7.63,8.24,7.49,1.04,4.03,0.78,0.09,Photo high resolution,
B78-63-a,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub triangular,Feather,A symetric to the right,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,,,No,,,,,,,,,,,,,,9.5,12.67,14.03,9.76,2.63,11.33,1.84,0.39,None,
B78-63-c,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Irregular,Hinge,Symmetrical,8,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,,,No,,,,,,,,,,,,,,10.72,11.88,13.56,10.7,2.12,2.91,0.72,0.28,Photo+3d,
B78-63-e,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Oblique,Trapezoidal,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Fine,,,No,,,,,,,,,,,,,,7.92,10.12,9.94,8.36,2.12,2.39,0.78,0.19,None,
B78-63-g,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Sub rectangular,Feather,Symmetrical,6,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,10.33,5.53,12,6.55,0.86,1.08,0.51,0.08,Photo high resolution,
B78-63,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,3.39,8.4,8.41,3.58,1.14,2.49,0.54,0.04,Photo high resolution,
B78-63,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,3,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,,,No,,,,,,,,,,,,,,3.06,6.42,6.52,3.07,0.85,,,0.01,None,
B78-63,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,5,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,4.89,5.57,5.47,4.97,1.28,5.78,1.7,0.03,None,
C79-45,1b,97.01,97.01,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Sub triangular,Feather,Symmetrical,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,,,No,,,,,,,,,,,,,,10.14,7.31,11.86,7.36,1.74,6.04,2.23,0.16,None,
A77,1b,96.99,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Straight,Trapezoidal,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.15,9.87,13.51,6.43,1.43,7.58,1.15,0.13,None,
C78-34-d,1b,97,97,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,4,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.37,6.77,7.42,5.46,0.84,,,0.02,None,
E6-c,3a,97.4,97.35,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,1,Plain,Plain,Lipped,Yes,Flake,,Module 0,,,,,No,,No,,,,,,,,,,,,,,4.32,9.07,9.37,4.33,1.82,8.76,1.69,0.05,None,
E6,3a,97.4,97.35,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,7,9.41,10.28,7.04,1.13,3.73,0.67,0.09,None,
F6-7-a,2b,97.5,97.45,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,1,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.63,11.02,11.1,6,1.76,4.72,1.04,0.14,None,
F6-7-b,2b,97.5,97.45,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,1,Plain,Plain,Not lipped,Yes,Flake,,Module 0,,,,,No,,No,,,,,,,,,,,,,,8.37,6.01,8.38,5.74,1.36,1.36,0.52,0.04,None,
D78-b,6,97.35,97.3,Tsaghk-3-ar59,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Triangular,Straight,Trapezoidal,Feather,A symetric to the right,4,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,10.39,11.94,16.13,10.83,2.35,2.91,0.68,0.37,None,
D79-15,6,98.47,98.47,Tsaghk-3-ar59,Obsidian,Flake,Complete,Partly abraded,Calcified,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,21.01,15.34,21.32,17.66,3.51,4.29,2.23,1.2,None,
B79-1,1b,97.07,97,Tsaghk-3 damlik,Obsidian,Flake,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,6,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,10.7,6.81,1.58,4.73,1.2,0.08,None,
A76-3,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Trapezoidal,Feather,Symmetrical,4,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.18,5.49,8.58,6.15,0.86,2.2,0.58,0.05,None,
A76-6,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique, pointed,Feather,Symmetrical,0,Plain,Plain,Lipped,Yes,Flake,,Module 0,,None,None,None,No,,No,,,,,,,,,,,,,,12.32,4.57,13.18,5.58,0.78,2.06,0.57,0.07,None,Lsf
A76-13,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,A symetric to the left,9,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,11.44,11.54,13.05,11.27,1.54,6.02,1.67,0.22,Photo high resolution,
A76-15,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,,Plain,Faceted,Not lipped,Yes,Flake,,Module 0,,None,None,None,No,,No,,,,,,,,,,,,,,7.33,7.39,7.75,7.61,1.51,4.84,1.19,0.05,None,
A76-16,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,Calcified,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,10,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,11.74,12.75,16.11,12.09,1.41,,,0.24,Photo high resolution,
A76-17,1b,97.02,96.96,Tsaghk-2-ar60,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,8,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,15.03,7.79,1.75,5.19,1.15,0.22,None,
A77,2a,97.1,97.06,Tsaghk-2-ar60,Obsidian,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,3,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,10.25,9.22,2.03,1.24,0.45,0.12,None,
A77-2,1b,97.04,97.04,Tsaghk-2-ar60,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,3,Along axis,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.29,5.78,1.03,5.6,0.79,0.03,None,
A77-11,1b,97.03,97.01,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Oval,Feather,Symmetrical,5,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.28,5.21,5.84,5.48,1.9,,,0.05,None,
A77-17,1b,97.03,97.01,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Concave,Trapezoidal,Feather,A symetric to the right,7,Along axis side,Faceted,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,6.62,7.51,10.65,6.97,0.85,5.87,0.81,0.05,None,
A77-19,1b,97.03,97.01,Tsaghk-2-ar60,Obsidian,Flake,Lat,Calcified,Patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,,,14.65,11.29,1.97,5.26,1.33,0.33,None,
A79-10,1b,97.05,96.98,Tsaghk-2-ar60,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.59,4.04,0.53,6.12,0.51,0.01,Photo high resolution,
B76-3,2b,97.21,97.15,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the left,8,Convergent,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,9.52,7.09,11.53,7.61,1.28,2.24,1.15,0.11,Photo high resolution,
B76-1,1b,97.05,97.03,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight, pointed,Feather,Symmetrical,1,Plain,Plain,Not lipped,Yes,Flake,,Module 0,,None,None,None,No,,No,,,,,,,,,,,,,,4.96,2.6,4.91,2.91,0.35,2.14,0.38,0,None,
B76-5,1b,97.05,97.03,Tsaghk-2-ar60,Obsidian,Kombewa,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,1,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,7.28,4.51,1.06,3.97,0.82,0.04,None,
B76-4,2b,97.15,97.1,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,4,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.28,5.25,5.51,5.17,0.66,,,0.01,None,
B77,2b,97.76,97.76,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the right,13,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Distal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,5.49,4.9,10.44,5.43,0.92,2.85,0.88,0.06,Photo high resolution,
B78-2,2a,97.2,97.07,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Straight,Trapezoidal,Feather,A symetric to the left,5,Side,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 4,,Proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,9.35,8.1,15.03,6.2,1.85,8.28,2.2,0.17,Photo high resolution,Lsf
B78-4,2a,97.2,97.07,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Concave,Oval,Hinge,Symmetrical,2,Along axis,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.86,4.45,6.07,4.44,0.68,4,0.75,0.01,None,
C75,3a,97.37,97.3,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.26,10.16,10.52,4.74,1.48,,,0.07,None,
D79-1,1b,97.11,97.07,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the right,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.86,14.29,21.02,10.64,2.56,,,0.46,Photo+3d,
D76-2,1b,97.08,97,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,3,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.35,4.5,5.09,4.79,0.85,2.87,0.9,0.01,Photo high resolution,
D76-3,1b,97.08,97,Tsaghk-2-ar60,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,6,Along axis side,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,8.11,4.92,1.09,4.76,1.19,0.03,None,
D76-13,1b,97.08,97,Tsaghk-2-ar60,Obsidian,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,5,Side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Dista proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,9.07,7.33,0.79,1.26,0.84,0.05,None,
D76-22,1b,97.08,97,Tsaghk-2-ar60,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,,,,9,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Dista proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,14.7,11.91,1.23,4.74,1.77,0.21,Photo high resolution,Possible refit with d76-21 1b (97.08/97.00)
D76-4,1b,97.08,97.05,Tsaghk-2-ar60,Obsidian,Flake,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,6,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,12.68,8.05,1.62,,,0.16,None,
C79-1,1b,97.08,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,9,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.54,6.92,7.43,6.92,0.62,0.4,0.76,0.06,Photo high resolution,
C78-2,2a,97.15,97.06,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub triangular,Feather,A symetric to the right,4,Convergent,Faceted,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,7.78,4.6,9.64,6.12,0.94,3.03,0.88,0.04,None,
C77-1,2a,97.19,97.12,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Oval,Feather,A symetric to the left,15,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,13.14,12.17,16.57,13.74,1.97,5.93,1.23,0.38,Photo+3d,
C77-3,3a,97.29,97.29,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.89,7.1,8.46,5.48,1.04,2.49,1.02,0.04,Photo high resolution,
C76-2,3a,97.25,97.25,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Oblique,Concave,Irregular,Feather,Symmetrical,11,Side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal right,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,9.13,15.95,18.37,12.64,2.36,1.77,1.33,0.36,Photo high resolution,
C76-13,1b,97.08,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Distal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.69,4.63,4.63,3.54,0.55,2.28,0.59,0.01,None,
C76-1,2a,97.09,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub rectangular,Feather,A symetric to the left,8,Along axis side,Crushed,Indeterminate,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.04,7.83,13.59,9.24,1.25,,,0.15,None,
C76-15,2a,97.09,97.04,Tsaghk-2-ar60,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,6,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,7.15,9.1,9,7.51,1.3,,,0.05,None,
C76-22,2a,97.09,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,2,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.91,6.15,6.53,4.97,1.4,4.06,1.47,0.04,None,
C76-28,2a,97.09,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Feather,Symmetrical,6,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal right,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,6.38,12.57,12.95,6.57,2.66,,,0.15,None,
C76-29,2a,97.09,97.04,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Sub rectangular,Feather,Symmetrical,9,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,Yes,,No,,,,,,,,,,,,,,8.87,7.74,10.76,8.86,1.06,5.45,1.24,0.09,None,
C76-8,2b,97.19,97.07,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Irregular,Feather,Symmetrical,7,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Dista proximal left,Dorsal,Flat,No,,No,,,,,,,,,,,,,,12.29,7.07,13.53,8.67,0.91,,,0.11,None,
A77-19,1b,96.99,96.99,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal left,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Hinge,Symmetrical,8,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Mixed,,,No,,,,,,,,,,,,,,23.5,20.02,26.2,20.4,3.82,17.31,6.16,2.63,Photo high resolution,
A77-15,1b,97.01,97.01,Tsaghk-2-ar60,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Irregular,Step,Symmetrical,3,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.5,13.02,14.38,10.1,1.17,,,0.21,None,
