SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K14-1163/1172-a,3.1,3,99.44,99.4,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Irregular,Hinge,Symmetrical,Yes,1,Side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Distal proximal right,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,13.29,10.3,14.45,11.1,2.07,,,0.31,None,
K14-1316/1324-3,3.2,3,99.16,99.13,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Trapezoidal,Sub rectangular,Feather,A symetric to the left,Yes,5,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.41,6.94,12.59,7.45,1.11,,,0.1,None,
K14-1881-b,4.1,4,98.62,98.62,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Trapezoidal,Irregular,Feather,A symetric to the left,,6,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.45,3.99,6.84,4.09,0.83,,,0.01,None,
K14-1769/1785-b,4.1,4,98.79,98.77,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Oval,Hinge,Symmetrical,,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.46,4.32,5.15,4.65,0.62,3.11,0.45,0.01,None,
J14,3.2,3,98.99,98.99,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Irregular,Hinge,A symetric to the right,,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,9.79,9.79,15.75,9.71,2.2,,,0.22,None,
J14-1939/1943,3.2,3,98.74,98.73,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the left,Yes,4,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,5.48,4.72,7.11,5.29,0.68,,,0.01,None,
J14-2018/2025,4.1,4,98.59,98.59,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Irregular,Irregular,Triangular,Irregular,Feather,A symetric to the right,,2,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Distal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.35,6.36,6.51,5.64,1.04,3.85,0.97,0.01,None,
J14,3.2,3,98.74,98.74,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Convex,Polyhedral,Trapezoidal,Hinge,Symmetrical,,11,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,10.23,10.98,14.06,11.18,1.92,,,0.28,Photo high resolution,
J11-1877/1919-b,3.6,3,98.56,98.55,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Trapezoidal,Hinge,Symmetrical,,2,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.48,3.69,5.86,4.97,1.27,1.13,0.68,0.01,None,
J11-1846/1876-a,3.6,3,98.57,98.56,Gutansar,Obsidian,58,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,1,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,,,11.86,6.26,1.3,3.1,0.95,0.08,None,
J11-1864/1876-c,3.6,3,98.57,98.56,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Polyhedral,Irregular,Hinge,Symmetrical,,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.53,6.93,6.96,4.81,1.31,1.16,0.74,0.01,None,Two ventrals
